price,rooms,area,location
1.399.000 €,4 Zi.,113.33 m²,"locationWien, Alsergrund (Alsergrund)"
937.000 €,4 Zi.,126 m²,locationVillach (Innere Stadt)
150.000 €,2 Zi.,51.67 m²,locationKlagenfurt (St. Ruprecht)
"289.000,32 €",2 Zi.,40.68 m²,locationWien (Donaustadt)
267.325 €,2 Zi.,40.88 m²,locationWien (Donaustadt)
299.000 €,3 Zi.,59.3 m²,locationWien (Hietzing)
267.325 €,2 Zi.,40.88 m²,locationWien (Donaustadt)
110.000 €,1 Zi.,37.2 m²,locationGraz (Sankt Leonhard)
195.000 €,3 Zi.,62.02 m²,locationWien (Liesing)
168.000 €,1.5 Zi.,,locationWien (Ottakring)
189.000 €,1.5 Zi.,,locationWien (Ottakring)
199.000 €,2 Zi.,54.46 m²,locationWien (Brigittenau)
690.000 €,3 Zi.,99.92 m²,"locationWien,Alsergrund (Alsergrund)"
230.000 €,1 Zi.,31.18 m²,"locationWien,Alsergrund (Alsergrund)"
356.000 €,2 Zi.,51.07 m²,"locationWien,Alsergrund (Alsergrund)"
1.642.000 €,4 Zi.,113.95 m²,"locationWien,Alsergrund (Alsergrund)"
349.650 €,2 Zi.,55.89 m²,locationWien (Simmering)
358.763 €,2 Zi.,52.21 m²,locationWien (Simmering)
509.513 €,3 Zi.,75.42 m²,locationWien (Simmering)
159.000 €,1 Zi.,30.45 m²,"locationWien,Brigittenau (Brigittenau)"
280.000 €,2 Zi.,57.06 m²,locationFußach
502.320 €,2 Zi.,60.7 m²,locationWien (Hernals)
716.630 €,3 Zi.,85.34 m²,locationWien (Hernals)
687.050 €,3 Zi.,77.12 m²,locationWien (Hernals)
840.840 €,3 Zi.,112.89 m²,locationWien (Hernals)
165.000 €,,36.27 m²,"locationWien,Favoriten (Favoriten)"
535.080 €,2 Zi.,64.96 m²,locationWien (Hernals)
621.080 €,3 Zi.,74.75 m²,locationWien (Hernals)
682.500 €,3 Zi.,76.48 m²,locationWien (Hernals)
"552.000,01 €",2 Zi.,60.71 m²,locationWien (Hernals)
787.500 €,3 Zi.,85.34 m²,locationWien (Hernals)
755.000 €,3 Zi.,77.12 m²,locationWien (Hernals)
924.000 €,3 Zi.,112.89 m²,locationWien (Hernals)
"588.000,01 €",2 Zi.,64.97 m²,locationWien (Hernals)
682.500 €,3 Zi.,74.75 m²,locationWien (Hernals)
750.000 €,3 Zi.,76.48 m²,locationWien (Hernals)
150.000 €,2 Zi.,,locationFrohnleiten
515.000 €,2 Zi.,64.02 m²,"locationWien,Landstraße (Landstraße)"
295.000 €,2 Zi.,60 m²,"locationWien, Donaustadt (Donaustadt)"
279.000 €,2 Zi.,40 m²,"locationWien, Leopoldstadt (Leopoldstadt)"
387.000 €,4 Zi.,97 m²,locationWien (Hietzing)
225.000 €,2 Zi.,66.18 m²,locationWien (Floridsdorf)
497.000 €,3 Zi.,66.25 m²,locationLinz (Urfahr)
597.000 €,5 Zi.,80.37 m²,locationLinz (Urfahr)
160.000 €,2 Zi.,39.6 m²,locationOetz
220.000 €,3 Zi.,76.07 m²,locationOetz
195.000 €,3 Zi.,64.45 m²,locationOetz
269.000 €,3 Zi.,70 m²,locationWien (Floridsdorf)
200.000 €,4 Zi.,69.77 m²,locationOetz
225.000 €,3 Zi.,75.78 m²,locationOetz
"73.150,75 €",4 Zi.,74.47 m²,locationKnittelfeld
"72.865,67 €",4 Zi.,73.63 m²,locationKnittelfeld
"299.900,36 €",2 Zi.,41.01 m²,locationKorneuburg
"299.900,47 €",2 Zi.,39.08 m²,locationKorneuburg
"305.000,82 €",3 Zi.,66.68 m²,locationWien (Wieden)
199.000 €,1 Zi.,32 m²,"locationWien,Neubau (Neubau)"
349.000 €,1 Zi.,32 m²,"locationWien,Neubau (Neubau)"
550.000 €,3 Zi.,95 m²,locationWien (Floridsdorf)
190.922 €,2 Zi.,54 m²,locationHollabrunn
238.000 €,1 Zi.,32.49 m²,locationWien (Alsergrund)
672.399 €,3 Zi.,76.39 m²,locationPodersdorf am See
259.005 €,2 Zi.,37.37 m²,locationWien (Floridsdorf)
421.283 €,2 Zi.,50.03 m²,locationWien (Floridsdorf)
316.683 €,2 Zi.,43.23 m²,locationWien (Floridsdorf)
325.002 €,3 Zi.,62.31 m²,locationWien (Simmering)
239.003 €,2 Zi.,41.3 m²,locationWien (Floridsdorf)
499.000 €,4 Zi.,120 m²,locationWolfurt
115.000 €,3 Zi.,70 m²,locationKraubath an der Mur
"279.000,12 €",2 Zi.,45.49 m²,locationPurkersdorf
"325.000,69 €",4 Zi.,95.74 m²,locationWien (Favoriten)
"289.000,81 €",3 Zi.,53.24 m²,locationWien (Donaustadt)
"479.000,31 €",2 Zi.,57.42 m²,locationWien (Favoriten)
"399.900,41 €",2 Zi.,55.86 m²,locationWien (Favoriten)
"369.900,75 €",2 Zi.,52.99 m²,locationWien (Favoriten)
"489.900,78 €",3 Zi.,71.97 m²,locationWien (Favoriten)
"469.900,16 €",3 Zi.,68.24 m²,locationWien (Favoriten)
"289.900,05 €",2 Zi.,41.56 m²,locationWien (Favoriten)
"499.900,06 €",2 Zi.,62.72 m²,locationWien (Favoriten)
"349.900,71 €",2 Zi.,44.71 m²,locationWien (Favoriten)
"299.900,29 €",1 Zi.,41.16 m²,locationWien (Favoriten)
"399.900,38 €",3 Zi.,52.18 m²,locationWien (Favoriten)
"414.900,46 €",2 Zi.,52.06 m²,locationWien (Favoriten)
"259.000,85 €",2 Zi.,45.56 m²,locationPurkersdorf
"1.990.000,54 €",5 Zi.,141.91 m²,locationWien (Döbling)
"1.690.000,52 €",4 Zi.,115.35 m²,locationWien (Döbling)
"2.690.000,15 €",5 Zi.,182.13 m²,locationWien (Döbling)
"389.900,94 €",2 Zi.,51.13 m²,locationWien (Favoriten)
"349.900,10 €",2 Zi.,44.9 m²,locationWien (Favoriten)
"556.331,47 €",3 Zi.,89.69 m²,locationGraz (Lend)
"229.003,31 €",2 Zi.,57.69 m²,locationWien (Favoriten)
"279.000,72 €",2 Zi.,48.44 m²,locationWien (Favoriten)
299.500 €,3 Zi.,74.24 m²,locationWien (Liesing)
354.000 €,2 Zi.,48 m²,locationVillach (Innere Stadt)
auf Anfrage,1 Zi.,40 m²,locationVillach-Landskron (St. Andrä)
780.000 €,4 Zi.,100 m²,locationPerchtoldsdorf
6.450.000 €,4 Zi.,208 m²,locationKITZBÜHEL
320.000 €,3 Zi.,74.07 m²,locationBuch bei Jenbach
299.000 €,3 Zi.,70.52 m²,locationWien (Döbling)
149.500 €,1.5 Zi.,39 m²,locationWien (Leopoldstadt)
569.900 €,4 Zi.,106.56 m²,locationEllbögen
345.000 €,4 Zi.,73.6 m²,locationInnsbruck (Innsbruck)
239.000 €,1 Zi.,30.8 m²,locationWien (Landstraße)
416.600 €,,78 m²,locationGallneukirchen
